BAC_Wp2	1288	495	-	1	1
BAC_Wp2	4061	3262	+	1	0.333333333333333
BAC_Wp2	4061	3699	+	1	0.222222222222222
BAC_Wp2	25287	24642	-	2	0.8
BAC_Wp2	35429	33009	+	1	0.5
BAC_Wp2	42333	41871	-	1	1
BAC_Wp2	51238	50157	-	1	1
BAC_Wp2	53527	53389	-	1	1
BAC_Wp2	56220	55783	+	2	1
BAC_Wp2	58711	58424	-	2	1
BAC_Wp2	67047	65491	-	5	0.769230769230769
BAC_Wp2	77971	75875	-	4	0.181818181818182
BAC_Wp2	80067	79600	-	2	0.8
BAC_Wp2	83274	81470	-	3	0.24
BAC_Wp2	85679	85182	+	2	0.363636363636364
BAC_Wp2	88501	83097	-	2	0.166666666666667
BAC_Wp2	92241	91196	-	1	1
BAC_Wp2	94737	93676	-	1	0.666666666666667
BAC_Wp2	112938	112204	-	1	1
BAC_Wp2	113103	112034	+	2	0.0493827160493827
BAC_Wp2	113109	100823	-	1	0.666666666666667
BAC_Wp2	113385	113164	-	2	1
BAC_Wp2	113612	98611	+	2	0.148148148148148
BAC_Wp2	113612	112034	+	2	0.0816326530612245
BAC_Wp2	113612	112039	+	1	0.0714285714285714
BAC_Wp2	113657	112034	+	1	0.08
BAC_Wp2	113716	112571	-	1	0.5
BAC_Wp2	113735	112034	+	2	0.114285714285714
BAC_Wp2	113735	112846	+	2	0.2
BAC_Wp2	113735	113008	+	2	0.0655737704918033
BAC_Wp2	114003	101082	+	1	0.0303030303030303
BAC_Wp2	114003	112034	+	8	0.179775280898876
BAC_Wp2	114003	113008	+	2	0.0347826086956522
BAC_Wp2	114003	113474	+	2	0.0380952380952381
BAC_Wp2	116225	115867	-	3	1
BAC_Wp2	116745	115862	-	2	1
BAC_Wp2	118367	117857	-	2	0.307692307692308
BAC_Wp2	118601	115828	-	1	0.1
BAC_Wp2	118601	117857	-	7	0.636363636363636
BAC_Wp2	119925	119701	+	2	0.032
BAC_Wp2	120293	119701	+	4	0.062992125984252
BAC_Wp2	120395	119701	+	5	0.078125
BAC_Wp2	120602	119701	+	1	0.0161290322580645
BAC_Wp2	120629	119701	+	2	0.032
BAC_Wp2	120753	119701	+	4	0.062992125984252
BAC_Wp2	120777	119701	+	3	0.0476190476190476
BAC_Wp2	120865	119701	+	22	0.303448275862069
BAC_Wp2	121246	119701	+	1	0.0161290322580645
BAC_Wp2	121261	119701	+	6	0.0930232558139535
BAC_Wp2	123956	103154	-	1	1
BAC_Wp2	125289	124128	+	20	0.655737704918033
BAC_Wp2	126161	124128	+	6	0.266666666666667
BAC_Wp2	128979	119701	+	14	0.167664670658683
BAC_Wp2	128979	119991	+	1	0.0444444444444444
BAC_Wp2	128979	126101	+	7	0.208955223880597
BAC_Wp2	128979	128589	+	14	0.388888888888889
BAC_Wp2	129141	119701	+	8	0.120300751879699
BAC_Wp2	130253	119701	+	2	0.0285714285714286
BAC_Wp2	131716	119701	+	1	0.0150375939849624
BAC_Wp2	131803	75875	-	4	0.0352422907488987
BAC_Wp2	131803	81470	-	4	0.0341880341880342
BAC_Wp2	131803	93557	-	2	0.0180995475113122
BAC_Wp2	131803	100096	-	2	0.0182648401826484
BAC_Wp2	131803	119788	-	1	0.00925925925925926
BAC_Wp2	131803	121251	-	2	0.0173160173160173
BAC_Wp2	131803	130243	-	6	0.0542986425339367
BAC_Wp2	131803	130258	-	1	0.00925925925925926
BAC_Wp2	131803	130639	-	22	0.181818181818182
BAC_Wp2	131803	130727	-	3	0.0275229357798165
BAC_Wp2	131803	130751	-	4	0.0365296803652968
BAC_Wp2	131803	130875	-	2	0.0184331797235023
BAC_Wp2	131803	130902	-	1	0.00925925925925926
BAC_Wp2	131803	131109	-	5	0.0454545454545455
BAC_Wp2	131803	131211	-	4	0.0365296803652968
BAC_Wp2	131803	131579	-	2	0.0184331797235023
BAC_Wp2	132371	130639	-	5	0.294117647058824
BAC_Wp2	133639	132895	+	7	0.4375
BAC_Wp2	133639	133129	+	2	0.307692307692308
BAC_Wp2	133935	131849	+	30	0.909090909090909
BAC_Wp2	135629	135271	+	3	1
BAC_Wp2	135634	134751	+	2	1
BAC_Wp2	135668	132895	+	1	0.0666666666666667
