Geneid	pOka_M1_2
79501	0
148398	28
26155	1583
339451	260
84069	58
84808	28
57801	231
9636	147
375790	13583
401934	1
54991	266
254173	0
8784	0
7293	0
51150	4487
126792	700
388581	7
118424	721
6339	105
116983	743
126789	238
54973	1169
80772	567
83756	11
1855	2193
54587	512
54998	1302
81669	1864
55052	775
441869	1
643965	0
64856	3
219293	0
83858	197
55210	636
339453	65
29101	1752
643988	977
142678	629
8510	2
984	443
728661	468
728642	107
9906	706
65220	1183
2782	7984
163688	2
339456	3
85452	0
2563	0
5590	423
199990	1055
6497	683
79906	89
11079	1999
5192	516
9651	0
55229	266
388585	0
8764	711
127281	671
79258	2
100287898	2
140625	0
63976	448
27237	33
1953	678
127262	1096
49856	295
7161	26
148870	0
388588	30
57470	825
9731	579
1677	59
339448	214
55966	44
261734	279
8514	176
26038	4
6146	9189
388591	179
23463	2593
390992	1
387509	108
11332	1019
54626	0
83715	1
8718	50
57449	323
79707	264
80835	1
3104	187
9903	1509
148479	557
90326	259
55735	746
23261	517
9341	2733
8863	867
10911	0
3604	21
11315	2596
54206	339
50651	84
473	1363
2023	55286
765	0
155184	0
6518	8
80045	19
9563	1276
80176	265
84275	119
199953	477
5293	223
22883	5129
56998	409
84328	457
64802	192
116362	1
10277	1584
23095	1310
5226	3347
378708	24
100526739	82
1325	6
1676	724
5195	400
54897	24
148345	0
23435	2827
10747	80
6723	1668
5394	1468
2475	1567
10218	222
29914	365
57540	6
26232	42
93611	722
26270	54
10459	581
374946	0
57085	824
284498	0
4524	338
1185	516
4878	16
4879	11
90231	1829
5351	5631
9927	2134
60672	178
943	0
7133	0
55187	1199
9249	2582
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
101060301	0
649330	0
343069	0
65122	0
400735	0
441871	0
391002	0
440561	0
343070	0
391003	0
653606	0
441873	0
645359	0
440563	0
343068	0
343071	0
645382	0
653619	0
101929983	0
729528	0
400736	0
645414	0
391004	0
645425	0
126755	0
10630	16
7799	476
23254	200
55092	130
727684	0
114827	0
79180	832
11330	2
63036	0
51032	5
842	141
23341	353
79814	1
84301	88
6248	113
23207	2443
284723	23
388595	0
54751	115
440567	109
23013	1337
7709	329
149563	0
27129	0
1187	1
1188	0
348487	51
1969	3100
128272	12
79363	32
54455	545
26099	2989
374955	1
55707	1195
100133301	0
55672	493
729574	0
729587	0
11223	20
9696	483
4237	0
23400	1437
6390	1559
11240	433
29943	349
51702	607
23569	0
353238	0
55920	1460
55160	688
81569	1
84966	0
127707	60
5081	0
80834	0
8659	269
126917	135
23352	3870
23065	2149
51154	754
22977	3
8574	1347
54896	425
832	2599
440574	606
100532736	1
4681	23
3362	0
255104	298
54546	0
23252	208
30814	0
5320	0
5322	0
26279	0
64600	0
391013	0
127733	0
127731	0
55450	275
79594	699
163933	10
978	4
65018	1819
1650	8225
57576	23
400745	218
50809	2741
8672	2108
1889	2937
84224	127
249	0
5909	9
84196	1031
401944	3
3339	7041
23436	0
10136	0
998	3423
54361	0
9923	468
2046	1
712	0
714	0
713	0
2048	405
646262	0
729059	2
23028	1875
7798	1203
3352	35
10236	2725
80818	327
6920	16
55616	340
1870	99
3399	1258
6135	21016
6924	942
57095	642
11313	1595
2582	1341
3155	741
2517	948
1269	0
55629	0
10772	545
127294	1
58985	2
163702	85
57822	0
90529	368
57185	1407
11123	120
400746	0
10250	1405
25932	4208
864	0
25949	1015
57035	458
6007	9
23585	1458
6006	1
55219	347
26119	590
57134	14
