Geneid	pOka_M2_1
79501	0
148398	41
26155	1372
339451	157
84069	42
84808	14
57801	199
9636	118
375790	12247
401934	0
54991	234
254173	0
8784	0
7293	0
51150	4034
126792	690
388581	5
118424	783
6339	81
116983	606
126789	182
54973	965
80772	392
83756	10
1855	1949
54587	458
54998	1140
81669	1747
55052	772
441869	0
643965	0
64856	0
219293	1
83858	206
55210	569
339453	66
29101	1663
643988	724
142678	486
8510	2
984	345
728661	514
728642	85
9906	801
65220	1170
2782	8223
163688	0
339456	3
85452	0
2563	0
5590	414
199990	739
6497	633
79906	78
11079	1912
5192	433
9651	1
55229	271
388585	0
8764	563
127281	573
79258	1
100287898	1
140625	0
63976	399
27237	27
1953	681
127262	1142
49856	260
7161	26
148870	0
388588	29
57470	769
9731	578
1677	55
339448	257
55966	43
261734	243
8514	124
26038	5
6146	10366
388591	162
23463	2748
390992	0
387509	78
11332	983
54626	2
83715	0
8718	46
57449	281
79707	266
80835	2
3104	167
9903	1337
148479	541
90326	201
55735	771
23261	627
9341	2834
8863	708
10911	0
3604	19
11315	2582
54206	354
50651	68
473	1408
2023	51582
765	0
155184	0
6518	6
80045	25
9563	1230
80176	190
84275	110
199953	372
5293	207
22883	4911
56998	406
84328	491
64802	227
116362	0
10277	1747
23095	1487
5226	3486
378708	24
100526739	71
1325	6
1676	700
5195	418
54897	31
148345	0
23435	2831
10747	56
6723	1191
5394	1491
2475	1709
10218	331
29914	383
57540	4
26232	49
93611	564
26270	38
10459	532
374946	0
57085	714
284498	1
4524	331
1185	512
4878	14
4879	18
90231	1482
5351	4648
9927	2017
60672	167
943	0
7133	0
55187	1241
9249	2613
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
101060301	0
649330	0
343069	0
65122	0
400735	0
441871	0
391002	0
440561	0
343070	0
391003	0
653606	0
441873	0
645359	0
440563	0
343068	0
343071	0
645382	0
653619	0
101929983	0
729528	0
400736	0
645414	0
391004	0
645425	0
126755	0
10630	22
7799	522
23254	187
55092	142
727684	0
114827	1
79180	729
11330	1
63036	0
51032	2
842	144
23341	417
79814	0
